(1.42024e-05,-6.35591e-06)
(-0.000115455,-0.000258292)
(6.39778e-10,1.72071e-06)
(1.06302e-05,2.67449e-08)
(-4.4912e-06,2.00992e-06)
(3.65102e-05,8.16791e-05)
(-2.54073e-07,-1.13482e-07)
(-9.68174e-06,2.16751e-05)
(2.57392e-07,1.14964e-07)
(2.20881e-06,-4.94397e-06)
(5.9781e-07,1.06758e-06)
(0.000138025,-7.72896e-05)
(6.915e-08,3.08858e-08)
(2.63503e-06,-5.8992e-06)
(-1.37582e-07,-6.14508e-08)
(-1.18066e-06,2.64266e-06)
(2.8359e-11,2.97215e-08)
(4.19152e-06,-3.99844e-09)
(2.57689e-05,-1.2639e-05)
(-0.000132369,-0.000270834)
(3.77389e-09,3.12699e-06)
(1.1873e-05,8.50687e-08)
(-8.14884e-06,3.99681e-06)
(4.18587e-05,8.56452e-05)
(-5.14839e-07,-1.81797e-07)
(-8.35531e-06,2.36558e-05)
(5.18298e-07,1.83018e-07)
(1.97902e-06,-5.59842e-06)
(1.48142e-06,2.01398e-06)
(0.000134446,-9.88921e-05)
(1.40121e-07,4.94789e-08)
(2.27403e-06,-6.43828e-06)
(-2.77042e-07,-9.78275e-08)
(-1.05783e-06,2.99248e-06)
(1.05963e-08,6.45863e-08)
(4.50225e-06,-7.38656e-07)
(3.65447e-05,-1.90077e-05)
(-0.000144989,-0.00028063)
(1.0655e-08,4.4367e-06)
(1.28806e-05,1.66285e-07)
(-1.15564e-05,6.01076e-06)
(4.58497e-05,8.87431e-05)
(-7.84936e-07,-2.31614e-07)
(-7.39492e-06,2.50455e-05)
(7.86865e-07,2.32184e-07)
(1.80125e-06,-6.08866e-06)
(2.51807e-06,2.90913e-06)
(0.000131178,-0.00011354)
(2.13633e-07,6.30374e-08)
(2.01264e-06,-6.81653e-06)
(-4.20597e-07,-1.24107e-07)
(-9.62807e-07,3.25452e-06)
(2.77233e-08,1.02144e-07)
(4.68067e-06,-1.27039e-06)
(4.47645e-05,-2.41401e-05)
(-0.000153547,-0.000287495)
(1.94429e-08,5.43475e-06)
