(2.251e-13,3.22282e-07)
(0.00018179,1.13617e-10)
(-1.6225e-08,5.2349e-09)
(4.40972e-06,1.36675e-05)
(2.16621e-08,1.77204e-08)
(9.21191e-05,-0.00011261)
(4.74152e-11,5.66789e-10)
(1.03998e-05,-8.7e-07)
(-0.000145489,1.00314e-10)
(-1.39447e-06,-4.32203e-06)
(-3.04003e-06,-9.42226e-06)
(8.1391e-05,-9.94954e-05)
(6.5138e-05,-7.96273e-05)
(1.10854e-05,-9.27359e-07)
(6.57738e-06,-5.50237e-07)
(-0.000115104,0.000140708)
(4.40972e-06,1.36675e-05)
(-1.43113e-05,1.19722e-06)
(-0.000145489,1.00314e-10)
(9.21191e-05,-0.00011261)
(-3.20447e-06,-9.93193e-06)
(1.03998e-05,-8.7e-07)
(2.16621e-08,1.77204e-08)
(9.21191e-05,-0.00011261)
(5.1308e-09,-1.65542e-09)
(-1.39447e-06,-4.32203e-06)
(-3.04003e-06,-9.42226e-06)
(4.52562e-06,-3.78593e-07)
(4.4982e-11,5.37703e-10)
(9.86608e-06,-8.25355e-07)
(-1.5917e-13,-2.27887e-07)
(-0.000128545,-8.03394e-11)
(-0.000102876,7.09325e-11)
(8.1391e-05,-9.94954e-05)
(1.53174e-08,1.25302e-08)
(6.5138e-05,-7.96273e-05)
(1.25678e-08,-4.05494e-09)
(-3.41575e-06,-1.05868e-05)
(-2.02669e-06,-6.2815e-06)
(1.10854e-05,-9.27359e-07)
(2.9988e-11,3.58469e-10)
(6.57738e-06,-5.50237e-07)
(4.25529e-13,3.98315e-07)
(0.000182165,1.72846e-10)
(-2.00821e-08,6.62511e-09)
(4.51123e-06,1.36745e-05)
(2.74202e-08,2.16749e-08)
(9.03592e-05,-0.000114311)
(7.98289e-11,7.14158e-10)
(1.03938e-05,-1.16183e-06)
(-0.000145711,1.53633e-10)
(-1.42657e-06,-4.32426e-06)
(-3.10844e-06,-9.42237e-06)
(7.98787e-05,-0.000101052)
(6.38936e-05,-8.08297e-05)
(1.10847e-05,-1.23905e-06)
(6.57364e-06,-7.34804e-07)
(-0.000112966,0.000142908)
(4.51123e-06,1.36745e-05)
(-1.43103e-05,1.5996e-06)
(-0.000145711,1.53633e-10)
(9.03592e-05,-0.000114311)
(-3.27659e-06,-9.93205e-06)
(1.03938e-05,-1.16183e-06)
(2.74202e-08,2.16749e-08)
(9.03592e-05,-0.000114311)
(6.35053e-09,-2.09504e-09)
(-1.42657e-06,-4.32426e-06)
(-3.10844e-06,-9.42237e-06)
(4.52532e-06,-5.05839e-07)
(7.57323e-11,6.7751e-10)
(9.86045e-06,-1.10221e-06)
(-3.00894e-13,-2.81651e-07)
(-0.00012881,-1.22221e-10)
(-0.000103033,1.08635e-10)
(7.98787e-05,-0.000101052)
(1.9389e-08,1.53265e-08)
(6.38936e-05,-8.08297e-05)
(1.55556e-08,-5.13179e-09)
(-3.49438e-06,-1.05922e-05)
(-2.0723e-06,-6.28158e-06)
(1.10847e-05,-1.23905e-06)
(5.04882e-11,4.51673e-10)
(6.57364e-06,-7.34804e-07)
(9.52666e-12,1.1197e-06)
(0.000184468,1.33148e-09)
(-5.69398e-08,2.1107e-08)
(5.08642e-06,1.37216e-05)
(8.74637e-08,5.7035e-08)
(8.03267e-05,-0.000123182)
(5.90094e-10,2.21323e-09)
(1.02372e-05,-2.72945e-06)
(-0.000147058,1.23309e-09)
(-1.60847e-06,-4.33916e-06)
(-3.49355e-06,-9.42445e-06)
(7.12505e-05,-0.000109259)
(5.67995e-05,-8.71025e-05)
(1.09529e-05,-2.92021e-06)
(6.47458e-06,-1.72626e-06)
(-0.000100763,0.000154516)
(5.08642e-06,1.37216e-05)
(-1.41401e-05,3.76998e-06)
