(2.84337e-07,0.000113891)
(0.000303981,3.60339e-06)
(-2.45903e-06,1.62509e-06)
(2.89929e-06,4.45434e-06)
(1.77704e-05,1.14011e-06)
(1.14411e-05,-0.000177797)
(3.00207e-07,1.76451e-07)
(1.31109e-06,-2.23053e-06)
(2.45813e-07,0.000108562)
(0.000301519,3.28135e-06)
(-2.34018e-06,1.53026e-06)
(2.84896e-06,4.41783e-06)
(1.6747e-05,1.24158e-06)
(1.31281e-05,-0.000176669)
(2.78369e-07,1.68975e-07)
(1.33089e-06,-2.1924e-06)
(2.06765e-07,0.00010255)
(0.000298716,2.9354e-06)
(-2.20649e-06,1.42502e-06)
(2.79148e-06,4.3766e-06)
(1.56101e-05,1.34018e-06)
(1.50814e-05,-0.000175357)
(2.54528e-07,1.60369e-07)
(1.35354e-06,-2.14816e-06)
(1.67716e-07,9.57135e-05)
(0.000295491,2.5645e-06)
(-2.05504e-06,1.30772e-06)
(2.72505e-06,4.32954e-06)
(1.43406e-05,1.43163e-06)
(1.73741e-05,-0.000173813)
(2.28489e-07,1.50396e-07)
(1.37972e-06,-2.09608e-06)
(1.38897e-07,8.99426e-05)
(0.00029274,2.2702e-06)
(-1.92769e-06,1.2107e-06)
(2.66797e-06,4.2896e-06)
(1.32897e-05,1.49166e-06)
(1.93751e-05,-0.000172448)
(2.07395e-07,1.41826e-07)
(1.40223e-06,-2.05045e-06)
(1.11712e-07,8.37076e-05)
(0.000289722,1.97157e-06)
(-1.7903e-06,1.10777e-06)
(2.60505e-06,4.24613e-06)
(1.21724e-05,1.53844e-06)
(2.16168e-05,-0.000170909)
(1.85451e-07,1.32378e-07)
(1.42705e-06,-1.99914e-06)
(9.05157e-08,7.809e-05)
(0.000286959,1.72004e-06)
(-1.66714e-06,1.01705e-06)
(2.54718e-06,4.20665e-06)
(1.1186e-05,1.5644e-06)
(2.37143e-05,-0.000169466)
(1.66531e-07,1.23757e-07)
(1.44987e-06,-1.95096e-06)
(7.29869e-08,7.27328e-05)
(0.000284283,1.49561e-06)
(-1.5499e-06,9.32128e-07)
(2.49066e-06,4.16851e-06)
(1.02617e-05,1.57464e-06)
(2.57942e-05,-0.000168021)
(1.49206e-07,1.15424e-07)
(1.472e-06,-1.9028e-06)
(5.67204e-08,6.6919e-05)
(0.000281324,1.26932e-06)
(-1.4231e-06,8.4192e-07)
(2.42771e-06,4.12656e-06)
(9.27837e-06,1.5694e-06)
(2.81498e-05,-0.000166367)
(1.31229e-07,1.06274e-07)
(1.49679e-06,-1.84822e-06)
(4.55647e-08,6.22453e-05)
(0.000278898,1.10052e-06)
